               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.018702,            0.013308,           0.0061692,             0.93457,              0.9159,             0.95833,             0.61931,            0.013148,           0.0043496,            0.002141,            0.006535,            0.006535,            0.006535
                  37,            0.018865,            0.013568,            0.006264,             0.94795,              0.9378,             0.96215,             0.63623,            0.012149,           0.0043655,           0.0016213,            0.006436,            0.006436,            0.006436
                  38,            0.019046,            0.013395,           0.0063597,               0.959,             0.95906,             0.97808,             0.65489,            0.011283,           0.0041752,           0.0016768,            0.006337,            0.006337,            0.006337
                  39,            0.019222,            0.013309,           0.0058161,             0.92198,             0.95513,             0.96463,             0.61304,            0.013047,           0.0044235,           0.0018711,            0.006238,            0.006238,            0.006238
                  40,            0.019156,            0.013292,           0.0065759,             0.93646,             0.92712,             0.96775,             0.63947,            0.011936,            0.004318,           0.0016642,            0.006139,            0.006139,            0.006139
                  41,            0.018647,            0.012891,           0.0057805,             0.94603,             0.95106,             0.96709,             0.64631,            0.010731,           0.0042766,           0.0017207,             0.00604,             0.00604,             0.00604
                  42,            0.018189,            0.013191,           0.0051682,              0.9267,             0.91498,             0.95442,             0.62487,            0.011805,           0.0041343,           0.0028962,            0.005941,            0.005941,            0.005941
                  43,            0.017996,            0.013208,           0.0049666,             0.94749,             0.94317,             0.96432,             0.64924,            0.011291,           0.0041971,           0.0017143,            0.005842,            0.005842,            0.005842
                  44,            0.018506,            0.013008,           0.0056357,             0.95827,             0.91923,             0.96837,             0.65387,             0.01172,           0.0041639,            0.001607,            0.005743,            0.005743,            0.005743
                  45,            0.018939,            0.012537,           0.0057498,             0.93911,             0.92167,             0.95816,             0.63781,            0.012033,           0.0042656,           0.0016133,            0.005644,            0.005644,            0.005644
                  46,            0.017599,            0.012708,           0.0050939,             0.95424,             0.94468,             0.97156,             0.63979,             0.01163,           0.0042688,           0.0013978,            0.005545,            0.005545,            0.005545
                  47,            0.017665,            0.013148,           0.0053869,             0.96288,             0.93209,             0.96681,             0.66389,            0.011259,           0.0041635,           0.0016605,            0.005446,            0.005446,            0.005446
                  48,            0.018029,             0.01308,           0.0060027,             0.96526,             0.96211,             0.97869,             0.65646,            0.011034,           0.0041581,           0.0015956,            0.005347,            0.005347,            0.005347
                  49,            0.017114,            0.012158,           0.0046414,             0.94945,             0.94274,             0.96068,             0.66842,            0.011268,           0.0041726,            0.001465,            0.005248,            0.005248,            0.005248
                  50,            0.017564,            0.012704,           0.0050391,             0.93174,             0.94291,             0.95353,              0.6521,            0.011571,           0.0042254,           0.0014999,            0.005149,            0.005149,            0.005149
                  51,            0.017347,            0.012642,            0.004776,             0.95197,              0.9378,             0.96575,              0.6791,            0.010719,           0.0039982,           0.0015989,             0.00505,             0.00505,             0.00505
                  52,            0.017485,            0.012789,            0.004424,             0.94772,             0.94694,             0.95995,             0.66957,            0.010858,           0.0041709,           0.0017519,            0.004951,            0.004951,            0.004951
                  53,            0.017502,            0.012881,           0.0054882,             0.94597,             0.94317,             0.96939,              0.6691,            0.010997,           0.0042782,           0.0014114,            0.004852,            0.004852,            0.004852
                  54,            0.017169,            0.012747,           0.0043175,              0.9556,             0.95491,             0.97223,             0.67676,            0.011395,           0.0041365,           0.0012486,            0.004753,            0.004753,            0.004753
                  55,            0.016308,            0.012149,           0.0040396,             0.94296,             0.95147,             0.96412,             0.67424,            0.011015,           0.0040467,           0.0013309,            0.004654,            0.004654,            0.004654
                  56,            0.016739,            0.012162,           0.0056402,             0.95736,             0.95347,             0.97094,             0.68059,            0.010922,           0.0042076,           0.0013768,            0.004555,            0.004555,            0.004555
                  57,            0.016363,            0.011904,           0.0047092,              0.9394,             0.95436,              0.9647,             0.69571,            0.011164,           0.0040695,           0.0013864,            0.004456,            0.004456,            0.004456
                  58,            0.016326,            0.012212,           0.0041033,              0.9436,             0.94855,              0.9698,             0.69747,             0.01091,           0.0041253,           0.0012648,            0.004357,            0.004357,            0.004357
                  59,            0.017019,            0.012077,           0.0049062,              0.9243,             0.94303,             0.96821,              0.6917,            0.010814,           0.0040103,           0.0017076,            0.004258,            0.004258,            0.004258
                  60,            0.016301,            0.012217,           0.0051019,             0.95748,             0.94204,             0.96191,             0.69585,            0.010179,           0.0039398,           0.0018448,            0.004159,            0.004159,            0.004159
                  61,            0.017418,            0.011811,           0.0046544,             0.94346,             0.94274,             0.96204,             0.69258,            0.010253,           0.0039276,           0.0015331,             0.00406,             0.00406,             0.00406
                  62,            0.016583,            0.012157,           0.0039992,             0.95818,             0.96599,              0.9779,             0.70185,            0.010411,           0.0038941,           0.0013884,            0.003961,            0.003961,            0.003961
                  63,            0.016171,            0.011971,           0.0037836,             0.95287,             0.95436,             0.96969,             0.69866,            0.010573,           0.0039908,           0.0011919,            0.003862,            0.003862,            0.003862
                  64,            0.015619,            0.011612,           0.0034634,             0.95211,             0.95436,             0.96359,             0.68333,            0.010428,           0.0040525,           0.0013977,            0.003763,            0.003763,            0.003763
                  65,            0.015865,            0.011831,           0.0040446,             0.94391,              0.9578,             0.96766,             0.69711,            0.010375,           0.0039878,           0.0011093,            0.003664,            0.003664,            0.003664
                  66,             0.01556,            0.011677,            0.004399,             0.94392,             0.95921,             0.97046,             0.69684,            0.010755,           0.0040233,           0.0011984,            0.003565,            0.003565,            0.003565
                  67,            0.016001,            0.011537,           0.0045258,             0.94803,             0.95178,              0.9703,             0.70187,            0.010615,           0.0039687,           0.0013127,            0.003466,            0.003466,            0.003466
                  68,             0.01661,            0.011432,           0.0039591,             0.94653,             0.95176,             0.96738,             0.70717,            0.010886,           0.0039201,           0.0013597,            0.003367,            0.003367,            0.003367
                  69,            0.015292,            0.011367,           0.0034368,             0.93308,             0.95393,             0.96611,             0.71598,            0.010977,           0.0039044,           0.0014139,            0.003268,            0.003268,            0.003268
                  70,            0.015646,            0.011278,           0.0036707,              0.9626,             0.94449,             0.97243,             0.70959,            0.010497,            0.003943,           0.0010409,            0.003169,            0.003169,            0.003169
                  71,            0.014905,            0.011121,           0.0032527,             0.94528,             0.94899,             0.96775,             0.71152,            0.010518,           0.0039398,           0.0012705,             0.00307,             0.00307,             0.00307
                  72,            0.014546,            0.011013,           0.0030373,             0.93992,              0.9576,             0.96817,             0.71124,            0.010303,           0.0039603,           0.0013088,            0.002971,            0.002971,            0.002971
                  73,            0.015487,            0.011374,           0.0035327,             0.95933,              0.9548,             0.97646,             0.70958,            0.010221,           0.0039717,           0.0011603,            0.002872,            0.002872,            0.002872
