               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.020764,            0.013641,           0.0073141,             0.92926,             0.92748,             0.95972,             0.60459,            0.012883,           0.0046037,           0.0017028,            0.006535,            0.006535,            0.006535
                  37,            0.020927,            0.013881,           0.0066062,             0.93487,             0.91862,             0.95131,             0.62872,            0.011945,           0.0043967,           0.0021808,            0.006436,            0.006436,            0.006436
                  38,            0.019039,            0.013433,            0.005811,             0.93663,             0.93061,             0.95362,             0.61897,            0.012813,           0.0044224,           0.0024111,            0.006337,            0.006337,            0.006337
                  39,            0.019444,            0.013315,            0.006662,             0.94858,             0.91008,             0.96547,             0.64536,            0.012117,           0.0043013,           0.0019932,            0.006238,            0.006238,            0.006238
                  40,            0.019366,              0.0131,           0.0056334,             0.95058,             0.91586,             0.95673,             0.63665,            0.011157,           0.0043666,           0.0019274,            0.006139,            0.006139,            0.006139
                  41,            0.019907,            0.013386,           0.0067352,             0.93532,             0.92778,             0.96125,             0.64803,            0.012128,           0.0041364,           0.0016665,             0.00604,             0.00604,             0.00604
                  42,             0.01948,            0.013058,           0.0061784,             0.89078,             0.94899,             0.95625,             0.63636,            0.011808,           0.0041913,           0.0013163,            0.005941,            0.005941,            0.005941
                  43,            0.019907,            0.013238,           0.0072756,             0.93384,              0.9467,             0.96254,             0.63332,            0.011942,           0.0045168,           0.0016887,            0.005842,            0.005842,            0.005842
                  44,            0.018803,            0.013427,           0.0062765,             0.93848,             0.93176,             0.96693,             0.63895,            0.012082,           0.0042524,           0.0019025,            0.005743,            0.005743,            0.005743
                  45,            0.018808,            0.013087,           0.0060203,             0.92795,              0.9586,             0.96519,             0.64193,            0.012349,           0.0042774,           0.0014955,            0.005644,            0.005644,            0.005644
                  46,            0.018243,            0.012601,           0.0043442,             0.93818,             0.94811,             0.96709,             0.66021,            0.011427,           0.0043035,           0.0011724,            0.005545,            0.005545,            0.005545
                  47,            0.019535,            0.012521,           0.0053115,             0.88435,             0.91454,             0.95081,             0.65531,            0.010808,           0.0042877,           0.0020448,            0.005446,            0.005446,            0.005446
                  48,            0.017886,            0.012566,           0.0056318,             0.90259,             0.94855,              0.9614,             0.65929,             0.01208,           0.0042135,           0.0018737,            0.005347,            0.005347,            0.005347
                  49,             0.01863,             0.01278,           0.0051533,             0.93528,             0.91963,               0.957,             0.64653,            0.010992,           0.0042248,           0.0014262,            0.005248,            0.005248,            0.005248
                  50,            0.017795,            0.012577,           0.0049976,             0.92381,             0.94172,             0.95928,             0.64701,            0.012365,           0.0044183,           0.0014016,            0.005149,            0.005149,            0.005149
                  51,            0.018438,             0.01297,            0.006842,             0.92614,             0.95187,             0.96066,             0.65519,            0.012014,           0.0043404,           0.0015094,             0.00505,             0.00505,             0.00505
                  52,             0.01876,            0.012182,            0.004958,             0.93069,             0.94855,             0.96199,             0.65789,            0.011857,           0.0041473,           0.0016537,            0.004951,            0.004951,            0.004951
                  53,            0.017533,             0.01226,           0.0049312,             0.95448,             0.92323,             0.96707,             0.66371,            0.012294,           0.0043189,           0.0017271,            0.004852,            0.004852,            0.004852
                  54,            0.017884,            0.012427,           0.0050446,             0.90437,              0.9423,             0.96102,             0.67106,            0.011852,           0.0041577,            0.002786,            0.004753,            0.004753,            0.004753
                  55,            0.018103,            0.012316,           0.0050164,             0.91601,               0.921,             0.95403,             0.67738,            0.010795,            0.004162,           0.0022502,            0.004654,            0.004654,            0.004654
                  56,            0.017582,            0.012276,           0.0051533,             0.92469,             0.95736,             0.95943,             0.65071,            0.011179,            0.004377,           0.0013616,            0.004555,            0.004555,            0.004555
                  57,            0.017485,            0.012494,            0.004505,             0.93389,              0.9525,             0.95728,              0.6647,            0.010836,           0.0042927,           0.0013348,            0.004456,            0.004456,            0.004456
                  58,            0.016907,            0.012301,           0.0042551,             0.92804,              0.9423,             0.95771,             0.65787,            0.010984,           0.0041995,           0.0015277,            0.004357,            0.004357,            0.004357
                  59,            0.017733,             0.01246,           0.0052336,             0.94431,             0.91845,             0.96968,             0.67322,            0.010605,           0.0042107,           0.0010829,            0.004258,            0.004258,            0.004258
                  60,             0.01794,            0.011988,           0.0047878,             0.91034,             0.93992,              0.9589,             0.67623,            0.010692,           0.0042554,           0.0016968,            0.004159,            0.004159,            0.004159
                  61,            0.016715,            0.011783,             0.00454,             0.94476,             0.92052,             0.95551,             0.68149,            0.010343,           0.0040979,           0.0017787,             0.00406,             0.00406,             0.00406
                  62,            0.017908,            0.012393,             0.00495,             0.93051,             0.93684,             0.96098,             0.67191,            0.010985,           0.0041874,           0.0016079,            0.003961,            0.003961,            0.003961
                  63,            0.016519,            0.012108,           0.0046643,             0.95778,             0.95122,             0.96843,             0.66655,            0.011041,           0.0043204,           0.0012603,            0.003862,            0.003862,            0.003862
                  64,            0.017466,             0.01237,           0.0049408,             0.94522,             0.95367,             0.97064,             0.69576,            0.010375,           0.0039885,          0.00099809,            0.003763,            0.003763,            0.003763
                  65,            0.016968,            0.011922,           0.0043276,             0.93752,             0.94162,             0.96652,             0.68581,            0.010663,           0.0040898,           0.0013996,            0.003664,            0.003664,            0.003664
                  66,            0.016193,             0.01154,           0.0029543,             0.92385,             0.95155,             0.96475,             0.68225,            0.011348,            0.004128,           0.0013301,            0.003565,            0.003565,            0.003565
                  67,            0.017069,            0.011741,           0.0038902,             0.90079,              0.9558,             0.95843,             0.67135,            0.011455,           0.0041849,           0.0015197,            0.003466,            0.003466,            0.003466
                  68,            0.016086,            0.011645,           0.0042416,             0.93723,             0.91454,              0.9642,             0.68753,            0.011283,           0.0041887,           0.0014474,            0.003367,            0.003367,            0.003367
                  69,            0.016475,            0.011824,           0.0035172,             0.91829,             0.94855,             0.96746,             0.69863,            0.010309,            0.004076,           0.0013188,            0.003268,            0.003268,            0.003268
                  70,            0.015984,            0.011526,           0.0038409,             0.94397,             0.94274,             0.96235,             0.69188,            0.010805,            0.004031,           0.0017574,            0.003169,            0.003169,            0.003169
                  71,             0.01604,            0.011627,           0.0034539,             0.93339,             0.94213,             0.96409,             0.68515,            0.010997,           0.0041631,           0.0014449,             0.00307,             0.00307,             0.00307
                  72,            0.016989,            0.011544,           0.0039982,             0.92391,             0.92586,             0.96271,             0.68712,            0.011162,           0.0040793,           0.0016535,            0.002971,            0.002971,            0.002971
                  73,            0.015976,            0.011059,           0.0032667,             0.93704,             0.92016,              0.9618,             0.70352,            0.010679,           0.0040237,           0.0016791,            0.002872,            0.002872,            0.002872
                  74,            0.015457,            0.011561,           0.0036853,             0.90988,             0.93978,             0.96468,             0.69654,            0.010816,           0.0041716,           0.0017625,            0.002773,            0.002773,            0.002773
                  75,            0.014884,            0.011054,           0.0035523,             0.92552,             0.93231,             0.96435,             0.70467,            0.010662,            0.004145,           0.0016752,            0.002674,            0.002674,            0.002674
                  76,             0.01471,            0.010684,           0.0030909,             0.93406,             0.93598,             0.96384,             0.69769,            0.010613,           0.0042118,           0.0013148,            0.002575,            0.002575,            0.002575
                  77,            0.015195,            0.011069,           0.0028177,             0.92395,             0.94855,             0.96129,             0.71374,           0.0099345,           0.0041342,           0.0010669,            0.002476,            0.002476,            0.002476
                  78,            0.014963,            0.010846,            0.002821,             0.89668,             0.95789,             0.96593,              0.7153,            0.009892,           0.0040806,           0.0014045,            0.002377,            0.002377,            0.002377
                  79,            0.015591,            0.011133,           0.0035047,             0.91408,             0.97818,             0.96623,               0.712,           0.0099905,            0.004137,           0.0013925,            0.002278,            0.002278,            0.002278
                  80,            0.015059,             0.01117,           0.0038991,             0.93456,             0.93466,             0.95994,             0.70335,            0.010463,            0.004231,           0.0014034,            0.002179,            0.002179,            0.002179
                  81,            0.015222,            0.010702,           0.0034164,             0.93531,             0.93736,             0.96152,              0.7067,            0.010327,           0.0041139,           0.0013486,             0.00208,             0.00208,             0.00208
                  82,            0.015084,            0.010607,           0.0036595,              0.9484,             0.93539,             0.96462,             0.70965,            0.010095,            0.004044,           0.0011391,            0.001981,            0.001981,            0.001981
                  83,            0.014536,            0.010668,           0.0023154,              0.9422,             0.92036,             0.96252,             0.70763,            0.010121,           0.0040833,           0.0013915,            0.001882,            0.001882,            0.001882
                  84,            0.015557,              0.0113,           0.0023663,             0.93751,             0.93586,             0.96429,             0.71889,           0.0097497,           0.0040835,           0.0016498,            0.001783,            0.001783,            0.001783
                  85,            0.014501,            0.010667,           0.0022231,             0.93168,             0.94274,             0.96372,             0.71976,           0.0096979,           0.0040078,            0.001433,            0.001684,            0.001684,            0.001684
                  86,            0.014636,            0.010596,           0.0025922,             0.94755,             0.92229,             0.96827,             0.70887,            0.009947,           0.0041527,           0.0012531,            0.001585,            0.001585,            0.001585
                  87,            0.014269,            0.010671,           0.0022185,             0.94667,             0.93706,             0.96894,             0.71826,           0.0095045,            0.004058,            0.001286,            0.001486,            0.001486,            0.001486
                  88,             0.01345,            0.010159,           0.0027698,             0.94293,             0.92995,             0.96676,             0.71902,           0.0098422,           0.0040675,           0.0013095,            0.001387,            0.001387,            0.001387
                  89,            0.014179,             0.01026,           0.0030649,             0.94383,             0.92941,             0.96524,             0.71597,            0.010089,           0.0040607,           0.0012755,            0.001288,            0.001288,            0.001288
                  90,            0.014911,            0.010555,           0.0028566,             0.91373,             0.96018,             0.96644,             0.73351,           0.0095802,           0.0039946,           0.0015266,            0.001189,            0.001189,            0.001189
                  91,            0.013957,            0.010362,           0.0028044,             0.90352,             0.94811,             0.96548,             0.72364,           0.0098979,           0.0040913,           0.0014063,             0.00109,             0.00109,             0.00109
                  92,             0.01348,            0.010247,           0.0022547,             0.90822,             0.96645,             0.96866,              0.7218,            0.010091,           0.0041388,           0.0014938,            0.000991,            0.000991,            0.000991
                  93,            0.013479,            0.010307,           0.0022267,             0.89818,             0.97137,             0.96772,             0.73328,           0.0096845,           0.0041085,           0.0013774,            0.000892,            0.000892,            0.000892
                  94,            0.013718,           0.0098817,           0.0022007,             0.91391,             0.96418,             0.96841,              0.7331,           0.0096955,           0.0041347,           0.0014152,            0.000793,            0.000793,            0.000793
                  95,            0.013712,            0.010292,           0.0025175,             0.92205,             0.95121,             0.96857,             0.73402,           0.0097342,           0.0041006,           0.0014511,            0.000694,            0.000694,            0.000694
                  96,            0.013225,            0.010003,           0.0021606,             0.90893,             0.97662,             0.96872,             0.73389,           0.0098406,           0.0040922,           0.0014071,            0.000595,            0.000595,            0.000595
                  97,            0.013654,           0.0099228,           0.0024953,             0.93108,              0.9515,             0.96787,             0.72463,           0.0097296,           0.0041375,           0.0014742,            0.000496,            0.000496,            0.000496
                  98,            0.013366,            0.010115,           0.0020045,             0.90724,             0.96354,              0.9694,             0.72401,           0.0095504,           0.0041125,           0.0014453,            0.000397,            0.000397,            0.000397
                  99,            0.012993,           0.0098816,           0.0022503,             0.91485,             0.95699,             0.96695,             0.72989,            0.009379,           0.0041091,           0.0014866,            0.000298,            0.000298,            0.000298
